name,abbr
Aberdeenshire,ABD
Alderney,ALD
Anglesey,AGY
Angus,ANS
Argyllshire,ARL
Avon,AVN
Ayrshire,AYR
Banffshire,BAN
Bedfordshire,BDF
Berkshire,BRK
Berwickshire,BEW
Borders,BOR
Breconshire,BRE
Buckinghamshire,BKM
Bute,BUT
Caernarvonshire,CAE
Caithness,CAI
Cambridgeshire,CAM
Cardiganshire,CGN
Carmarthenshire,CMN
Central,CEN
Cheshire,CHS
Clackmannanshire,CLK
Cleveland,CLV
Clwyd,CWD
Antrim,ANT
Armagh,ARM
Carlow,CAR
Cavan,CAV
Clare,CLA
Cork,COR
Donegal,DON
Down,DOW
Dublin,DUB
Durham,DUR
Fermanagh,FER
Galway,GAL
Kerry,KER
Kildare,KID
Kilkenny,KIK
Laois,LEX
Leitrim,LET
Limerick,LIM
Londonderry,LDY
Longford,LOG
Louth,LOU
Mayo,MAY
Meath,MEA
Monaghan,MOG
Offaly,OFF
Roscommon,ROS
Sligo,SLI
Tipperary,TIP
Tyrone,TYR
Waterford,WAT
Westmeath,WEM
Wexford,WEX
Wicklow,WIC
Cornwall,CON
Cumberland,CUL
Cumbria,CMA
Denbighshire,DEN
Derbyshire,DBY
Devon,DEV
Dorset,DOR
Dumfries and Galloway,DGY
Dumfries-shire,DFS
Dunbartonshire,DNB
Dyfed,DFD
East Lothian,ELN
East Riding of Yorkshire,ERY
East Sussex,SXE
Essex,ESS
Fife,FIF
Flintshire,FLN
Glamorgan,GLA
Gloucestershire,GLS
Grampian,GMP
Greater Manchester,GTM
Guernsey,GSY
Gwent,GNT
Gwynedd,GWN
Hampshire,HAM
Hereford and Worcester,HWR
Herefordshire,HEF
Hertfordshire,HRT
Highland,HLD
Humberside,HUM
Huntingdonshire,HUN
Inverness-shire,INV
Isle of Wight,IOW
Jersey,JSY
Kent,KEN
Kincardineshire,KCD
Kinross-shire,KRS
Kirkcudbrightshire,KKD
Lanarkshire,LKS
Lancashire,LAN
Leicestershire,LEI
Lincolnshire,LIN
Lothian,LTN
Merionethshire,MER
Merseyside,MSY
Mid Glamorgan,MGM
Midlothian,MLN
Monmouthshire,MON
Montgomeryshire,MGY
Morayshire,MOR
Nairn,NAI
Norfolk,NFK
North Riding of Yorkshire,NRY
North Yorkshire,NYK
Northamptonshire,NTH
Northumberland,NBL
Nottinghamshire,NTT
Orkney,OKI
Oxfordshire,OXF
Peebles-shire,PEE
Pembrokeshire,PEM
Perth,PER
Powys,POW
Radnorshire,RAD
Renfrewshire,RFW
Ross and Cromarty,ROC
Roxburghshire,ROX
Rutland,RUT
Sark,SRK
Selkirkshire,SEL
Shetland,SHI
Shropshire,SAL
Somerset,SOM
South Glamorgan,SGM
South Yorkshire,SYK
Staffordshire,STS
Stirlingshire,STI
Strathclyde,STD
Suffolk,SFK
Surrey,SRY
Sussex,SSX
Sutherland,SUT
Tayside,TAY
Tyne and Wear,TWR
Warwickshire,WAR
West Glamorgan,WGM
West Lothian,WLN
West Midlands,WMD
West Riding of Yorkshire,WRY
West Sussex,SXW
West Yorkshire,WYK
Western Isles,WIS
Westmorland,WES
Wigtownshire,WIG
Wiltshire,WIL
Worcestershire,WOR
Yorkshire,YKS